Home Postcode,Country of Residence,Sex,First Name,Last Name,Date of Birth,NHS ID
TF2 7SH,England,male,milo,bowers,24/4/1980,9201578431
BT15 5BB,Northern Ireland,female,sophie,phillips,4/7/1967,3215496070
EX1 1TQ,England,male,jaydon,rodriguez,7/1/1969,7139524602
BB1 5DT,England,male,zachary,pepperman,3/3/1978,263719456
SY13 1RR,England,female,evie,jordan,9/4/1959,5097418360
BS39 6EJ,England,male,jonathan,sutton,29/6/1939,8173059241
BN8 6NB,England,male,harry,mcconaghy,23/2/1995,3127584962
CH64 4AX,England,male,charlie,clark,15/6/2018,7129830646
BR6 9NW,England,male,jacob,levann,14/12/1960,3564927816
PE19 5YH,England,male,leon,gamon,11/6/1947,351649875
HU9 4QR,England,male,dalton,goodridge,14/11/1935,5380271642
BS16 5NB,England,male,harry,fenwick,30/6/1966,6157239484
GL12 7EB,England,female,lydia,,23/8/1998,7425891034
SN8 3SA,England,female,zubaida,kaur,8/6/,8431597062
NR5 9HE,England,male,mohammed,grogan,19/12/1958,4302987154
MK42 8RJ,England,male,henry,haines,11/10/1989,2137685949
ST3 5QF,England,female,rana,love,24/8/1963,1603982477
EX23 9PG,England,male,kazim,floate,23/1/1948,6495231083
PR1 6SD,England,male,taylor,kirkby,15/4/1983,5027684932
KA24 5EJ,Scotland,male,thomas,scannell,22/9/1988,2356789014
KA1 4JZ,Scotland,male,samuel,gundy,12/8/1953,4981063253
IP24 2HE,England,male,adrian,burke,29/5/1985,4098167239
AL6 9GR,England,male,keith,baddeley,12/8/1986,6781304259
NR13 3HP,England,female,aisha,leach,13/3/1933,8175942606
DT9 4DB,England,female,emilee,marsden,31/10/2018,1728650933
BT92 6LA,Northern Ireland,male,mohamed,warwick,16/6/1975,1463290578
BH8 9UQ,England,female,sarah,dean,14/2/1996,8605973420
DN5 7DE,England,male,jacob,michel,14/1/1967,5184902732
PL6 6NB,England,male,bradley,wilson,25/7/2001,6207439589
NE28 9BF,England,female,madeleine,morgan,2/8/1932,365420189
YO31 7NZ,England,male,diyan,regan,23/9/2014,9748305619
IG1 4HX,England,male,,aron,13//1961,7192543683
BH11 8LD,England,female,paris,williams,13/5/2012,923675841
BT40 2JZ,Northern Ireland,female,ruby,white,24/3/2017,456781323
WS3 4BB,England,female,molly,smith,19/3/1973,2768015946
,England,female,caitlin,o'connell,18/4/1983,2194063579
L7 7AP,England,female,keely,aslam,18/1/1945,1407256831
BT7 1LD,Northern Ireland,female,lola,aylett,10/10/1991,879325410
BN13 2HL,England,female,amber,penney,11/4/1939,8964031571
WD233NJ,England,female,emily,hudson,19/11/1993,3148062574
LA19 5YB,England,male,daniel,turner,28/5/1982,7539426101
MK2 3LZ,England,male,leonard,phillips,14/8/1982,5709162434
B7 4AH,England,male,reece,,20/11/1997,6813972405
SW155EZ,England,female,saskia,hobbs,28/6/2005,2087319642
ST16 1XD,England,male,sebastian,edwards,10/10/2016,2391654081
PE34 3NF,England,female,zaina,mcquarrie,8/1/2019,4609813254
